CustomerID,Frequency,MonetaryValue,AverageOrderValue,TotalQuantity,ProductDiversity,RecencyDays,PrimaryCountry,IsUK,RepeatProbability,ConditionalFutureRevenue,PredictedCLV,CLVSegment,Location,BusinessAction
12346,11,372.86,33.89636363636364,70,26,155,United Kingdom,1,0.7630837949976447,529.6065189038529,404.134152300644,Medium,UK,Grow customer value
12347,1,611.53,611.53,509,40,30,Iceland,0,0.6302126794453203,1346.6471124817297,848.6740850244146,High,Non-UK,Win back now
12348,1,222.16,222.16,373,20,64,Finland,0,0.5329509119336875,605.6382116067858,322.7754371777241,Medium,Non-UK,Low-cost nurture
12349,3,2671.14,890.3800000000001,993,90,33,Italy,0,0.8296535747841717,3388.349600999004,2811.156359087345,Very High,Non-UK,Protect loyalty
12351,1,300.93,300.93,261,21,1,Unspecified,0,0.6017380475458942,810.4849469453767,487.6996295402486,Medium,Non-UK,Low-cost nurture
12352,2,343.8,171.9,188,18,1,Norway,0,0.685814088885905,771.3746278413514,529.0195875827204,Medium,Non-UK,Grow customer value
12353,1,317.76,317.76,192,20,34,Bahrain,0,0.5561538734304574,826.751852620624,459.80124520076674,Medium,Non-UK,Low-cost nurture
12355,1,488.21,488.21,303,22,193,Bahrain,0,0.4133855347498241,1042.2908068750748,430.8679425648784,Medium,Non-UK,Win back now
12356,3,3560.3,1186.7666666666669,1825,68,6,Portugal,0,0.859862685094593,4598.73939004437,3954.284399973823,Very High,Non-UK,Protect loyalty
12357,2,12079.99,6039.995,3879,165,14,Switzerland,0,0.8654760818221345,12216.67046349715,10573.236085659712,Very High,Non-UK,Protect loyalty
12358,3,2719.01,906.3366666666668,831,52,1,Austria,0,0.8405930844282208,3750.2739899615103,3152.454380672676,Very High,Non-UK,Protect loyalty
12359,6,2563.36,427.2266666666667,1130,110,51,Cyprus,0,0.8866576268690842,3097.565748773046,2746.480295878067,Very High,Non-UK,Protect loyalty
12360,5,1590.83,318.166,1294,74,5,Austria,0,0.8845531436043877,2259.4125010376947,1998.5704304919448,Very High,Non-UK,Protect loyalty
12361,3,321.35,107.11666666666667,144,14,88,Belgium,0,0.6459340632938533,663.8289860288344,428.78975427784354,Medium,Non-UK,Low-cost nurture
12362,1,130.0,130.0,1,1,364,Belgium,0,0.0976133460167918,370.1492532701984,36.13150713732101,Low,Non-UK,Low-cost nurture
12366,1,500.24,500.24,296,3,259,Cyprus,0,0.3146307316633641,1244.7159227669383,391.6258814932012,Medium,Non-UK,Win back now
12368,1,917.7,917.7,330,18,254,Cyprus,0,0.3704967555255187,1727.031131767279,639.8594310113415,High,Non-UK,Win back now
12369,3,1791.15,597.05,1241,90,39,Austria,0,0.8216533508523812,2422.88852086652,1990.7744719117456,Very High,Non-UK,Protect loyalty
12370,3,774.62,258.20666666666665,252,33,250,Austria,0,0.5376659230288381,1114.698839430284,599.3355804014582,Medium,Non-UK,Win back now
12371,3,2179.42,726.4733333333334,845,91,35,Switzerland,0,0.8206839564705473,2841.5090384098507,2331.980879989017,Very High,Non-UK,Protect loyalty
12373,2,763.0500000000001,381.525,319,31,250,Austria,0,0.4751911841743884,1171.2493935106866,556.5673862658774,Medium,Non-UK,Win back now
12374,3,2246.29,748.7633333333333,1020,47,47,Austria,0,0.8098919697132252,3130.813063502723,2535.620358804117,Very High,Non-UK,Protect loyalty
12376,2,503.15,251.575,240,11,15,Switzerland,0,0.6847334146166929,1112.4858226068754,761.7562160262663,High,Non-UK,Protect loyalty
12377,2,1798.2,899.1,1161,75,7,Switzerland,0,0.7975671510462935,2677.892096848745,2135.798770493039,Very High,Non-UK,Protect loyalty
12378,1,1407.7,1407.7,787,82,188,Switzerland,0,0.5168476725847333,2215.0931424583705,1144.865735238012,High,Non-UK,Win back now
12379,2,767.98,383.99,408,37,48,Belgium,0,0.7017216849532928,1357.3645576252306,952.4921444726576,High,Non-UK,Protect loyalty
